State,length,weight,lake
GA,296,219,3
GA,296,250,3
GA,297,227,3
GA,297,239,3
GA,297,244,3
GA,297,250,3
GA,297,253,3
GA,299,234,3
GA,299,251,3
GA,300,246,3
GA,300,262,3
GA,301,254,3
GA,303,288,3
GA,304,248,3
GA,304,270,3
GA,305,248,3
GA,305,266,3
GA,306,252,3
GA,306,261,3
GA,306,261,3
GA,307,400,3
GA,308,245,3
GA,308,265,3
GA,309,290,3
GA,309,296,3
GA,310,253,3
GA,310,257,3
GA,310,285,3
GA,310,295,3
GA,310,300,3
GA,310,305,3
GA,311,273,3
GA,311,286,3
GA,311,286,3
GA,312,270,3
GA,312,284,3
GA,312,284,3
GA,312,286,3
GA,312,288,3
GA,313,328,3
GA,315,253,3
GA,315,256,3
GA,315,272,3
GA,315,287,3
GA,315,304,3
GA,315,351,3
GA,316,299,3
GA,317,297,3
GA,318,312,3
GA,318,322,3
GA,319,259,3
GA,319,290,3
GA,320,285,3
GA,320,291,3
GA,320,295,3
GA,320,304,3
GA,320,343,3
GA,323,309,3
GA,323,346,3
GA,325,332,3
GA,325,344,3
GA,325,362,3
GA,325,378,3
GA,325,379,3
GA,325,380,3
GA,326,369,3
GA,327,342,3
GA,327,357,3
GA,327,364,3
GA,328,349,3
GA,328,349,3
GA,330,325,3
GA,330,351,3
GA,331,339,3
GA,331,364,3
GA,332,293,3
GA,335,339,3
GA,335,355,3
GA,335,377,3
GA,335,416,3
GA,335,422,3
GA,336,350,3
GA,336,367,3
GA,336,372,3
GA,336,394,3
GA,336,433,3
GA,337,340,3
GA,339,383,3
GA,339,449,3
GA,340,392,3
GA,340,403,3
GA,340,476,3
GA,345,402,3
GA,346,453,3
GA,348,490,3
GA,353,445,3
GA,357,386,3
GA,363,484,3
GA,377,410,3
GA,382,537,3
GA,385,610,3
GA,385,721,3
GA,390,504,3
GA,394,470,3
GA,395,486,3
GA,396,545,3
GA,396,565,3
GA,397,583,3
GA,399,620,3
GA,400,530,3
GA,400,652,3
GA,400,656,3
GA,400,680,3
GA,403,592,3
GA,404,624,3
GA,404,715,3
GA,405,544,3
GA,405,609,3
GA,408,685,3
GA,410,594,3
GA,410,655,3
GA,410,677,3
GA,410,716,3
GA,410,730,3
GA,411,661,3
GA,412,680,3
GA,415,600,3
GA,415,660,3
GA,415,675,3
GA,417,710,3
GA,420,577,3
GA,420,606,3
GA,420,633,3
GA,420,645,3
GA,420,704,3
GA,420,706,3
GA,420,706,3
GA,420,712,3
GA,420,725,3
GA,420,745,3
GA,420,745,3
GA,420,758,3
GA,420,765,3
GA,422,697,3
GA,423,690,3
GA,424,682,3
GA,424,724,3
GA,425,602,3
GA,425,611,3
GA,425,755,3
GA,425,758,3
GA,425,809,3
GA,425,813,3
GA,425,832,3
GA,425,837,3
GA,425,932,3
GA,426,685,3
GA,426,723,3
GA,426,792,3
GA,427,655,3
GA,427,747,3
GA,427,752,3
GA,429,701,3
GA,429,710,3
GA,430,621,3
GA,430,667,3
GA,430,710,3
GA,430,718,3
GA,430,725,3
GA,430,736,3
GA,430,746,3
GA,430,752,3
GA,430,763,3
GA,430,763,3
GA,430,765,3
GA,430,772,3
GA,430,779,3
GA,430,779,3
GA,430,788,3
GA,430,820,3
GA,430,840,3
GA,430,872,3
GA,431,697,3
GA,431,780,3
GA,432,702,3
GA,432,792,3
GA,432,817,3
GA,432,820,3
GA,433,685,3
GA,433,705,3
GA,433,740,3
GA,433,767,3
GA,433,787,3
GA,433,906,3
GA,435,676,3
GA,435,732,3
GA,435,735,3
GA,435,753,3
GA,435,762,3
GA,435,781,3
GA,435,783,3
GA,435,790,3
GA,435,807,3
GA,435,822,3
GA,435,822,3
GA,435,840,3
GA,435,841,3
GA,435,853,3
GA,435,881,3
GA,435,890,3
GA,435,925,3
GA,436,753,3
GA,436,770,3
GA,436,781,3
GA,436,890,3
GA,437,690,3
GA,437,697,3
GA,437,712,3
GA,437,786,3
GA,437,810,3
GA,438,711,3
GA,438,771,3
GA,439,755,3
GA,439,815,3
GA,440,670,3
GA,440,720,3
GA,440,737,3
GA,440,741,3
GA,440,760,3
GA,440,761,3
GA,440,771,3
GA,440,777,3
GA,440,784,3
GA,440,816,3
GA,440,825,3
GA,440,832,3
GA,440,833,3
GA,440,867,3
GA,440,1096,3
GA,441,710,3
GA,442,747,3
GA,442,755,3
GA,442,805,3
GA,442,820,3
GA,442,828,3
GA,442,925,3
GA,443,733,3
GA,443,742,3
GA,443,782,3
GA,443,852,3
GA,443,861,3
GA,444,750,3
GA,444,831,3
GA,444,832,3
GA,444,852,3
GA,444,893,3
GA,444,898,3
GA,445,789,3
GA,445,813,3
GA,445,819,3
GA,445,820,3
GA,445,820,3
GA,445,824,3
GA,445,832,3
GA,445,833,3
GA,445,835,3
GA,445,837,3
GA,445,855,3
GA,445,860,3
GA,445,860,3
GA,445,862,3
GA,445,869,3
GA,445,877,3
GA,445,884,3
GA,445,888,3
GA,445,897,3
GA,445,905,3
GA,445,915,3
GA,445,918,3
GA,445,919,3
GA,445,934,3
GA,445,963,3
GA,445,980,3
GA,446,803,3
GA,446,815,3
GA,446,980,3
GA,447,802,3
GA,447,838,3
GA,447,845,3
GA,447,857,3
GA,447,857,3
GA,447,911,3
GA,448,688,3
GA,448,749,3
GA,448,778,3
GA,448,791,3
GA,448,846,3
GA,448,862,3
GA,448,886,3
GA,448,888,3
GA,448,910,3
GA,448,950,3
GA,450,724,3
GA,450,761,3
GA,450,778,3
GA,450,780,3
GA,450,784,3
GA,450,785,3
GA,450,807,3
GA,450,810,3
GA,450,811,3
GA,450,817,3
GA,450,820,3
GA,450,830,3
GA,450,837,3
GA,450,846,3
GA,450,864,3
GA,450,866,3
GA,450,876,3
GA,450,900,3
GA,450,903,3
GA,450,930,3
GA,450,937,3
GA,450,958,3
GA,450,1048,3
GA,451,814,3
GA,451,818,3
GA,451,827,3
GA,451,916,3
GA,451,921,3
GA,451,983,3
GA,452,842,3
GA,452,873,3
GA,452,987,3
GA,453,826,3
GA,453,898,3
GA,453,935,3
GA,453,946,3
GA,453,986,3
GA,454,932,3
GA,454,958,3
GA,454,959,3
GA,455,786,3
GA,455,787,3
GA,455,831,3
GA,455,847,3
GA,455,852,3
GA,455,872,3
GA,455,886,3
GA,455,892,3
GA,455,905,3
GA,455,908,3
GA,455,910,3
GA,455,927,3
GA,455,932,3
GA,455,933,3
GA,455,949,3
GA,455,950,3
GA,455,998,3
GA,455,1010,3
GA,455,1075,3
GA,456,934,3
GA,456,948,3
GA,456,981,3
GA,457,910,3
GA,457,978,3
GA,458,842,3
GA,458,870,3
GA,459,837,3
GA,459,866,3
GA,460,767,3
GA,460,839,3
GA,460,839,3
GA,460,850,3
GA,460,856,3
GA,460,875,3
GA,460,881,3
GA,460,892,3
GA,460,892,3
GA,460,905,3
GA,460,907,3
GA,460,910,3
GA,460,919,3
GA,460,920,3
GA,460,920,3
GA,460,925,3
GA,460,940,3
GA,460,950,3
GA,460,971,3
GA,460,1000,3
GA,460,1048,3
GA,461,902,3
GA,461,910,3
GA,461,1007,3
GA,461,1039,3
GA,462,909,3
GA,462,938,3
GA,462,943,3
GA,462,968,3
GA,462,1062,3
GA,463,788,3
GA,463,820,3
GA,463,904,3
GA,463,930,3
GA,464,866,3
GA,464,914,3
GA,464,920,3
GA,464,925,3
GA,464,1114,3
GA,465,815,3
GA,465,822,3
GA,465,865,3
GA,465,870,3
GA,465,882,3
GA,465,924,3
GA,465,936,3
GA,465,940,3
GA,465,955,3
GA,465,975,3
GA,465,980,3
GA,465,993,3
GA,465,1000,3
GA,465,1002,3
GA,465,1034,3
GA,465,1034,3
GA,465,1078,3
GA,466,950,3
GA,466,1108,3
GA,467,891,3
GA,467,990,3
GA,468,987,3
GA,468,1122,3
GA,470,840,3
GA,470,868,3
GA,470,890,3
GA,470,930,3
GA,470,934,3
GA,470,964,3
GA,470,1034,3
GA,470,1060,3
GA,471,884,3
GA,471,924,3
GA,471,943,3
GA,471,996,3
GA,471,997,3
GA,471,1016,3
GA,472,958,3
GA,472,980,3
GA,472,1059,3
GA,473,970,3
GA,473,1205,3
GA,474,880,3
GA,474,1038,3
GA,474,1240,3
GA,475,805,3
GA,475,907,3
GA,475,918,3
GA,475,935,3
GA,475,944,3
GA,475,965,3
GA,475,991,3
GA,475,1035,3
GA,475,1050,3
GA,475,1053,3
GA,475,1067,3
GA,475,1073,3
GA,475,1083,3
GA,476,968,3
GA,476,1042,3
GA,476,1063,3
GA,476,1083,3
GA,476,1091,3
GA,476,1100,3
GA,477,1002,3
GA,477,1225,3
GA,479,904,3
GA,480,1000,3
GA,480,1015,3
GA,480,1026,3
GA,480,1045,3
GA,480,1064,3
GA,480,1093,3
GA,480,1097,3
GA,480,1108,3
GA,480,1200,3
GA,480,1200,3
GA,480,1277,3
GA,480,1280,3
GA,482,950,3
GA,482,1150,3
GA,483,1164,3
GA,485,915,3
GA,485,940,3
GA,485,952,3
GA,485,1135,3
GA,485,1151,3
GA,485,1166,3
GA,485,1251,3
GA,485,1280,3
GA,486,1016,3
GA,486,1109,3
GA,487,998,3
GA,487,1340,3
GA,487,1390,3
GA,488,945,3
GA,488,980,3
GA,488,1072,3
GA,488,1198,3
GA,489,1004,3
GA,490,1000,3
GA,490,1024,3
GA,490,1050,3
GA,490,1076,3
GA,490,1082,3
GA,490,1150,3
GA,490,1157,3
GA,490,1300,3
GA,492,948,3
GA,492,973,3
GA,492,1035,3
GA,493,1292,3
GA,494,990,3
GA,494,1014,3
GA,494,1067,3
GA,495,1039,3
GA,495,1092,3
GA,495,1111,3
GA,495,1120,3
GA,495,1180,3
GA,495,1314,3
GA,495,1400,3
GA,496,1263,3
GA,496,1410,3
GA,497,1073,3
GA,497,1180,3
GA,497,1290,3
GA,498,1255,3
GA,498,1359,3
GA,500,1027,3
GA,500,1160,3
GA,500,1245,3
GA,500,1278,3
GA,501,1032,3
GA,501,1300,3
GA,502,1380,3
GA,503,950,3
GA,503,1180,3
GA,503,1400,3
GA,504,1284,3
GA,505,1047,3
GA,505,1170,3
GA,505,1196,3
GA,506,1180,3
GA,507,1147,3
GA,507,1214,3
GA,507,1235,3
GA,507,1520,3
GA,508,1133,3
GA,508,1204,3
GA,508,1212,3
GA,509,1000,3
GA,509,1171,3
GA,510,1088,3
GA,510,1187,3
GA,510,1200,3
GA,510,1272,3
GA,510,1300,3
GA,510,1360,3
GA,511,1214,3
GA,512,1360,3
GA,515,1220,3
GA,515,1241,3
GA,515,1307,3
GA,515,1329,3
GA,516,1320,3
GA,517,1380,3
GA,518,1560,3
GA,520,1480,3
GA,520,2000,3
GA,522,1075,3
GA,522,1173,3
GA,524,1214,3
GA,525,1328,3
GA,525,1340,3
GA,525,1460,3
GA,526,1150,3
GA,526,1540,3
GA,528,1470,3
GA,530,1542,3
GA,530,1550,3
GA,532,1200,3
GA,532,1612,3
GA,533,1189,3
GA,533,1700,3
GA,535,1700,3
GA,537,1560,3
GA,538,1341,3
GA,538,1700,3
GA,539,1391,3
GA,540,1372,3
GA,541,1441,3
GA,541,1550,3
GA,542,1426,3
GA,544,1493,3
GA,545,1419,3
GA,545,1467,3
GA,546,1712,3
GA,547,2000,3
GA,548,1440,3
GA,548,1880,3
GA,550,1476,3
GA,551,1810,3
GA,552,1668,3
GA,552,2100,3
GA,553,1720,3
GA,553,1880,3
GA,555,1760,3
GA,555,1820,3
GA,555,1900,3
GA,556,1450,3
GA,556,1604,3
GA,557,1990,3
GA,559,1840,3
GA,560,1585,3
GA,560,1700,3
GA,560,1800,3
GA,560,1900,3
GA,562,1880,3
GA,564,1720,3
GA,566,2600,3
GA,567,2070,3
GA,568,1700,3
GA,570,1780,3
GA,570,1880,3
GA,570,2200,3
GA,570,2400,3
GA,572,1880,3
GA,575,1750,3
GA,580,1740,3
GA,580,2030,3
GA,582,1922,3
GA,583,2120,3
GA,585,1482,3
GA,585,1850,3
GA,585,2000,3
GA,585,2005,3
GA,585,2080,3
GA,586,2100,3
GA,587,1703,3
GA,590,2090,3
GA,593,1890,3
GA,595,1940,3
GA,596,2270,3
GA,598,2220,3
GA,603,2200,3
GA,605,2200,3
GA,606,2120,3
GA,607,3620,3
GA,610,1890,3
GA,613,2520,3
GA,616,2550,3
GA,616,2720,3
GA,623,2280,3
GA,626,2350,3
GA,627,2680,3
GA,632,2820,3
GA,642,3100,3
GA,650,2580,3
GA,651,2380,3
GA,656,2860,3
GA,656,3920,3
GA,663,3300,3
GA,672,3600,3
GA,679,3600,3
GA,690,3620,3
GA,690,4050,3
GA,724,4760,3
GA,733,4320,3
GA,243,110,4
GA,252,139,4
GA,256,127,4
GA,260,154,4
GA,260,169,4
GA,266,168,4
GA,266,178,4
GA,268,170,4
GA,270,171,4
GA,270,181,4
GA,273,174,4
GA,273,196,4
GA,274,202,4
GA,275,183,4
GA,275,188,4
GA,276,197,4
GA,280,206,4
GA,285,225,4
GA,285,227,4
GA,285,228,4
GA,285,230,4
GA,287,204,4
GA,288,227,4
GA,288,260,4
GA,289,229,4
GA,290,195,4
GA,290,218,4
GA,290,226,4
GA,294,223,4
GA,294,248,4
GA,294,255,4
GA,295,229,4
GA,297,241,4
GA,300,256,4
GA,302,264,4
GA,304,275,4
GA,305,245,4
GA,305,254,4
GA,307,267,4
GA,310,262,4
GA,315,300,4
GA,334,260,4
GA,374,480,4
GA,390,547,4
GA,395,671,4
GA,397,674,4
GA,400,600,4
GA,400,637,4
GA,404,608,4
GA,405,691,4
GA,409,763,4
GA,410,645,4
GA,412,696,4
GA,415,640,4
GA,415,709,4
GA,420,693,4
GA,422,721,4
GA,422,763,4
GA,425,778,4
GA,427,785,4
GA,428,778,4
GA,430,704,4
GA,430,762,4
GA,430,787,4
GA,432,731,4
GA,432,736,4
GA,433,766,4
GA,435,888,4
GA,438,772,4
GA,438,923,4
GA,440,760,4
GA,440,800,4
GA,440,934,4
GA,440,935,4
GA,442,792,4
GA,443,966,4
GA,445,726,4
GA,445,734,4
GA,445,1076,4
GA,446,856,4
GA,446,904,4
GA,447,970,4
GA,450,820,4
GA,451,932,4
GA,452,824,4
GA,452,889,4
GA,453,1020,4
GA,455,850,4
GA,455,899,4
GA,455,952,4
GA,455,952,4
GA,455,992,4
GA,456,913,4
GA,460,862,4
GA,460,957,4
GA,462,758,4
GA,463,796,4
GA,463,1002,4
GA,464,965,4
GA,464,1041,4
GA,465,964,4
GA,465,1034,4
GA,465,1036,4
GA,465,1055,4
GA,465,1079,4
GA,467,1050,4
GA,468,1022,4
GA,470,994,4
GA,470,1127,4
GA,470,1190,4
GA,470,1198,4
GA,472,1025,4
GA,472,1079,4
GA,475,1091,4
GA,475,1115,4
GA,475,1137,4
GA,478,1400,4
GA,480,1072,4
GA,480,1130,4
GA,480,1140,4
GA,481,1118,4
GA,482,1320,4
GA,482,1328,4
GA,483,1235,4
GA,485,1131,4
GA,485,1180,4
GA,485,1289,4
GA,487,1190,4
GA,490,1162,4
GA,490,1312,4
GA,491,1234,4
GA,492,1216,4
GA,492,1306,4
GA,495,1148,4
GA,496,850,4
GA,496,1174,4
GA,498,1283,4
GA,500,1167,4
GA,500,1391,4
GA,500,1396,4
GA,500,1409,4
GA,502,1145,4
GA,502,1211,4
GA,503,1237,4
GA,504,1032,4
GA,504,1293,4
GA,507,1533,4
GA,508,1153,4
GA,508,1263,4
GA,510,1234,4
GA,510,1316,4
GA,510,1340,4
GA,510,1350,4
GA,510,1364,4
GA,510,1412,4
GA,510,1415,4
GA,510,1499,4
GA,515,1450,4
GA,516,1342,4
GA,518,1343,4
GA,522,1547,4
GA,522,1707,4
GA,525,1414,4
GA,525,1618,4
GA,528,1517,4
GA,530,1425,4
GA,530,1570,4
GA,530,1586,4
GA,532,1661,4
GA,535,1834,4
GA,540,2024,4
GA,543,1600,4
GA,545,1645,4
GA,546,1947,4
GA,550,1609,4
GA,551,1730,4
GA,552,1342,4
GA,552,1856,4
GA,555,1360,4
GA,555,1765,4
GA,565,1752,4
GA,566,1951,4
GA,568,2058,4
GA,570,2032,4
GA,570,2308,4
GA,570,2349,4
GA,570,2440,4
GA,575,1699,4
GA,576,1980,4
GA,584,2155,4
GA,585,2109,4
GA,587,2439,4
GA,590,1923,4
GA,602,2230,4
GA,610,2450,4
GA,615,2300,4
GA,618,2182,4
GA,625,2240,4
GA,635,2500,4
SD,121,19,4
SD,122,15,4
SD,122,16,4
SD,124,14,4
SD,124,16,4
SD,124,18,4
SD,125,12,4
SD,125,14,4
SD,125,14,4
SD,125,15,4
SD,125,17,4
SD,126,17,4
SD,127,16,4
SD,128,16,4
SD,128,16,4
SD,128,21,4
SD,129,20,4
SD,129,20,4
SD,130,15,4
SD,130,16,4
SD,130,18,4
SD,130,21,4
SD,131,16,4
SD,131,18,4
SD,131,21,4
SD,132,17,4
SD,132,20,4
SD,132,21,4
SD,132,21,4
SD,133,19,4
SD,133,20,4
SD,133,20,4
SD,133,22,4
SD,134,18,4
SD,134,19,4
SD,134,20,4
SD,134,21,4
SD,134,22,4
SD,134,23,4
SD,135,17,4
SD,135,17,4
SD,135,18,4
SD,135,21,4
SD,135,22,4
SD,136,19,4
SD,136,19,4
SD,136,21,4
SD,136,22,4
SD,137,20,4
SD,137,22,4
SD,137,23,4
SD,137,24,4
SD,138,22,4
SD,138,23,4
SD,139,22,4
SD,139,22,4
SD,140,21,4
SD,140,24,4
SD,141,25,4
SD,141,26,4
SD,141,26,4
SD,142,24,4
SD,143,22,4
SD,144,24,4
SD,144,26,4
SD,145,22,4
SD,146,21,4
SD,146,24,4
SD,146,26,4
SD,146,27,4
SD,146,30,4
SD,147,25,4
SD,147,25,4
SD,147,26,4
SD,147,26,4
SD,148,20,4
SD,148,22,4
SD,148,24,4
SD,149,25,4
SD,149,28,4
SD,150,25,4
SD,150,28,4
SD,152,26,4
SD,152,29,4
SD,152,30,4
SD,153,27,4
